PCB Manufacturer Name,Email,Phone Contact,Location,Employees,Certifications,Industries,Website,EMS Type,Manufacturing Specifications,Assembly Specifications,Capabilities,Equipment,Constraints/Notes
Protronics Inc.,operations@protronics-inc.com,,,,,,www.protronics-inc.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm): 0.12
Minimum clearance (mm): 0.15
Minimum annular ring (mm): 0.15
Maximum layer count: 12
Maximum board thickness (mm): 2.0
Maximum board size (mm): (width: 600, height: 600)

Vias
Supported types: through-hole, blind, buried, microvia
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.):

Materials (FR-4, Rogers, Polyimide, etc.)
","SMT supported? Yes
THT supported? Yes
BGA minimum pitch (mm): 0.4
Fine pitch assembly supported? Yes
Max components per board: 5000",,,"Controlled impedance support: Yes
Max copper weight (oz): 3
Any unique requirements or limitations: Yes
"
Summit Interconnect,info@summitinterconnect.com,(714) 239-2433 / (877) 264-0343,Fullerton / multiple US facilities (CA + others),"1,250+","RoHS, IPC-related, AS9100","Aerospace, RF/Microwave, Consumer, Industrial",summitinterconnect.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","SMT: placement of 0402 and 0201, fine-pitch down to 0.3 mm pitch, BGAs down to 0.4 mm pitch (vendor dependent). 
THT: PTH insertion & wave/ selective soldering. 
Assembly tolerances: pick-and-place positional accuracy typically ±0.05–0.1 mm (50–100 µm). 
Stencil: laser-cut stainless steel, thickness 0.1–0.2 mm (100–200 µm) depending on paste volume. 
Reflow: lead-free RoHS reflow oven, multiple zones, nitrogen available for some high reliability builds. 
Paste inspection: SPI before reflow. 
Inspection: AOI, X-ray for BGA, ICT/functional test as required, Flying probe for low volumes. 
Conformal coating: acrylic, polyurethane, silicone (select). 
Cleaning: aqueous / no-clean flux options. 
Box-build: cable assembly, harnessing, mechanical integration, final test, burn-in.*
ESD & clean room: ESD-controlled environment.*","Full-service: PCB fabrication + assembly + box-build + high-reliability (aerospace/defense) programs. 
Strong in rigid-flex and RF. ","PCB fab equipment: LDI image systems (Orbotech/KLA), automated inner layer inspection, lamination presses, CNC drilling (Schill, Schmoll, Hitachi), PTH plating lines, electroless copper plating, immersion gold/plating lines. 
Assembly equipment: DEK/ASM/Europlacer paste printers, Yamaha/JUKI/Fuji pick-and-place, Heller/BTU/Rehm reflow ovens, Koh Young/Omron AOI, Nordson Dage / Yxlon X-ray, ICT beds, flying probe testers.",Large North American footprint; strong for rigid-flex/high-reliability; see certs for aerospace/defense requirements. 
NCAB Group US Inc.,jill.rocha@ncabgroup.com,603 329 4551,"Hampstead, NH",11-50,ISO / export controls / ITAR guidance,"Broad: Industrial, automotive, telecom, electronics OEMs",ncabgroup.com,Supplier,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)",Assembly specs: NCAB coordinates EMS partners for assembly; assembly capabilities vary by partner (from proto quick-turn SMT to high-mix box build).,"Capability: global procurement, vendor qualification, supply chain & QA oversight.",Equipment: varies by factory; NCAB does not operate its own fab lines. For each RFQ record the supplier facility and equipment list.,NCAB provides supply management rather than being a single EMS fab.
"Premier Logitech (formerly VOTRONICS, Inc.)",sales@premierss.com,(866) 591-7546,"Plano / Coppell, TX",10–50,"ISO 9001:2015, ITAR registration","Electronics OEMs, telecom, industrial",votronicsinc.com / premierss.com,"Manufacturer, Supplier","PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","SMT: placement of 0402 common 
BGA: typical support to 0.5 mm pitch; X-ray for BGA inspection. Reflow: lead-free reflow. 
Inspection: AOI & manual optical; flying probe/ICT may be outsourced. 
Box build: basic box builds and cable harnesses offered.",Small–medium EMS with prototype-to-low-volume production services.,"Typical equipment (to confirm): SMT pick-and-place (JUKI/Yamaha), reflow ovens, stencil printer, AOI (Omron/Koh Young), wave or selective soldering.",Some of the company directory entries are sparse
Multilayer Technology (Multilayer Technology Group / JVB Electronics),sales@multilayer.com,972-790-0062,"Irving, TX (US office)",Company history > decades; US staff smaller,"AS9100, ISO 9001 family, ITAR & JCP, MIL-PR","Aerospace, military, high-reliability electronics",multilayer.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly specs: high-reliability assembly per AS9100: fine pitch BGAs, buried/blind via BGA escape routing, via-in-pad with filled & capped via for BGA. 
Test: ICT, functional, X-ray, conformal coat, potting, environmental stress screening (ESS)/thermal cycling for qualification. 
Solder: lead-free, selective wave for PTH.","Specialty: aerospace & military grade PCBs, high-reliability multilayer and RF. 

*Good candidate for DRC profiles requiring high reliability, controlled impedance and heavy copper.","Fab equipment typical of high-end fabs: LDI (KLA), controlled lamination presses, microvia laser drills/laser via formation, electroplating lines, precision imaging, AOI/AXI/X-ray test suites.","Focused on military/aerospace, likely higher lead times / qualification needs for new customers. "
National Circuit Assembly (NCA),info@ncatx.com,(972) 278-2009 / 888-278-8890,"Garland, TX",Small/medium,ISO/industry quality processes,"Aerospace, defense, industrial, commercial",ncatx.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","SMT: 0402 & 0201 on higher-end lines. 
Pick-and-place accuracy: typical ±0.05–0.1 mm. 
Inspection: AOI, manual inspection, ICT/flying probe for testing. 
Reflow: Pb-free; selective soldering for PTH. 
Conformal coat: available on demand. 
Box build: available.",Quick-turn PCBA and small volume production; good for prototypes and low-to-mid volumes.,"Typical equipment: stencil printer (DEK/MPM), pick-and-place (Yamaha/JUKI), reflow ovens, AOI, flying probe or basic ICT.",Good for US quick-turn and low-to-mid volumes.
Niltronix Circuits,quote@niltronix.com,713-465-4216 / 713-465-7246,"Sugar Land / Houston, TX",Not stated on site (small-medium),"AS9100D, ISO 9001:2015","Aerospace, medical, oil & gas, industrial",niltronix.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: SMT fine pitch down to 0.4–0.5 mm, BGA support and X-ray for inspection, conformal coating, ICT and functional testing capability, box build. 
Clean/ESD: standard processes for aerospace/medical.",Fabrication + assembly for aerospace / military / oil & gas,"Equipment: AOI, reflow ovens, pick-and-place lines, X-ray","Focus on integrated fabrication + assembly, useful when both fab & assembly are needed."
"Protoline, Inc.",sales@protoline.com,281-561-0802,"Houston, TX",11–50,Not heavily published on site; general quality statements,Industrial & commercial electronics,protoline.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: typical SMT placement, 0402, 0201, reflow ovens (Pb-free), AOI, selective soldering, functional test.",Prototype and low-volume PCB fabrication & assembly.,"Typical small/medium shop lines: JUKI/Yamaha pick-and-place, stencil printers, Heller or equivalent reflow ovens, AOI.",Smaller independent manufacturer
"Q C Graphics, Inc. (QCG)",Info@QCG.com,972-931-4100,"Richardson / Plano area, TX (1501 N Plano Rd #300, Richardson TX)",small-medium,"AS9100 Rev D, ISO 9001:2015, ITAR & NIST / DFARS compliance","Aerospace, defense, medical, industrial, commercial",qcg.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: fine pitch down to 0.3–0.4 mm, BGA/X-ray, ICT, functional test and environmental screening (thermal shock, humidity) for aerospace/medical. 
Conformal coat & potting available.",High-reliability aerospace & defense focused fabrication & assembly; strong QA & test regimes. Use for DRC requiring tight impedance & microvia work.,"Fab/assembly equipment: LDI, microvia tech, precision lamination, KLA/Orbotech inspection, Koh Young AOI, Yxlon / Nordson Dage X-ray, reflow ovens (nitrogen).",Strong aerospace/defense compliance
"Rapid PCB, LLC (RapidPCB)",Support@RapidPCB.com,877-887-5777,"Austin / Dripping Springs, TX",Small to medium,Standard ISO / RoHS ,"Consumer, industrial, IoT prototypes",rapidpcb.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: quick-turn SMT for prototypes: 0402, some 0201 possible, pick-and-place, reflow, AOI for prototype runs, flying probe / functional test optional.","Fast prototypes, online ordering and quoting","Prototype-oriented equipment: stencil printers, small/med pick-and-place (MyData/Fuji/Yamaha), reflow ovens, SPI/AOI.",Good for prototyping/fast quotes; not a large high-reliability contract fab.
