companyName,contactName,email,phone,website,city,state,country,services,capacity,notes,,,,,,,,,,,,,,,
Sierra Circuits Inc,Amit,sales@protoexpress.com,800-763-7503,www.protoexpress.com,Sunnyvale,CA,USA,"PCB Fab, HDI, Assembly, SMT, THT","32 Layers, 0.0508mm track","Mil-Spec, Quick-turn, ITAR",,,,,,,,,,,,,,,
"Meiko Electronics America, Inc",Sales Manager,info@meiko-elec.com,877-206-6363,www.meiko-elec.com,Santa Clara,CA,USA,"PCB Fab, Assembly, Testing","42 Layers, 0.1mm track","Automotive, IATF16949",,,,,,,,,,,,,,,
TTM Technologies,Sean K.F. Hannan,investor@ttmtech.com,714-327-3000,www.ttm.com,Santa Ana,CA,USA,"PCB Fab, RF, HDI, Flex-Rigid","50 Layers, 0.0381mm track","Aerospace & Defense, 15+ sites",,,,,,,,,,,,,,,
Sanmina Corporation,Sales Inquiry,info@sanmina.com,408-964-3500,www.sanmina.com,San Jose,CA,USA,"Full Turnkey EMS, SMT, Backplanes","70 Layers, 0.0762mm track","Fortune 500, Global Footprint",,,,,,,,,,,,,,,
Electronics Interconnect,Sales Team,sales@e-interconnect.com,847-364-4848,www.e-interconnect.com,Elk Grove Village,IL,USA,"PCB Fab, Prototype, Production","58 Layers, 0.05mm track",High Layer Count Specialist,,,,,,,,,,,,,,,
Blind Buried Circuits Inc,Alyaq Khalani,sales@blindburiedcircuits.com,281-654-8963,www.blindburiedcircuits.com,Chicago,IL,USA,"Full Turnkey PCBA, HDI, Fabrication","60 Layers, 0.0762mm track","One-Stop EMS, ISO 13485",,,,,,,,,,,,,,,
Delta Circuits,Sales Department,sales@deltacircuits.com,630-350-1811,www.deltacircuits.com,Bensenville,IL,USA,"PCB Fab, Prototype, Assembly","30 Layers, 0.0762mm track","Quick-turn, Multilayer",,,,,,,,,,,,,,,
STUFF USA Inc.,Sales Manager,info@stuffusa.com,630-221-8250,www.stuffusa.com,West Chicago,IL,USA,"PCB Fab, Standard Production","12 Layers, 0.1mm track",Industrial focus,,,,,,,,,,,,,,,
Alltek Circuits Inc,Tony McCullough,sales@alltekcircuit.com,972-485-0800,www.alltekcircuit.com,Garland,TX,USA,"PCB Fab, Design, Assembly","30 Layers, 0.0762mm track",24-hour turn prototypes,,,,,,,,,,,,,,,
"AirBorn, Inc.",Sales Support,info@airborn.com,512-863-5585,www.airborn.com,Georgetown,TX,USA,"PCB Layout, Fab, Connectors","10 Layers, 0.1mm track","High Reliability, Interconnects",,,,,,,,,,,,,,,
Niltronix Circuits,Jay Karsaliya,quote@niltronix.com,713-465-4216,www.niltronix.com,Sugar Land,TX,USA,"Full Turnkey PCBA, Box Build","16 Layers, 0.1mm track","Oil & Gas, Robotics, AS9100",,,,,,,,,,,,,,,
"Rapid PCB, LLC",Support Team,support@rapidpcb.com,877-887-5777,www.rapidpcb.com,Dripping Springs,TX,USA,"PCB Fab, Prototype, Quick-turn","10 Layers, 0.1mm track","Low cost, rapid turnaround",,,,,,,,,,,,,,,
Super PCB,Sales Manager,info@superpcb.com,214-550-9837,www.superpcb.com,Plano,TX,USA,"PCB Fab, Global Sourcing","32 Layers, 0.0762mm track","TS16949, ISO9001, UL",,,,,,,,,,,,,,,
"EEEA, Inc",Sales Inquiry,info@eeea.com,864-963-3651,www.eeea.com,Simpsonville,SC,USA,"PCB Fab, SMT, Cabling","12 Layers, 0.127mm track","Utilities, Aerospace, Medical",,,,,,,,,,,,,,,
Fenix Manufacturing Solutions,Kathy Sapp,sales@fenix-mfg.com,803-649-1381,www.fenix-mfg.com,Aiken,SC,USA,"OEM, EMS, PCBA, Industrial","16 Layers, 0.1mm track",Industrial Electronics,,,,,,,,,,,,,,,
Cyber City Circuits,Sales Representative,sales@cybercitycircuits.com,803-520-4100,www.cybercitycircuits.com,Augusta,GA,USA,"PCB Assembly, Prototyping",Prototype Volume,Small Business Support,,,,,,,,,,,,,,,
M&M Technology Inc,Sales Team,sales@mmttechnology.com,704-882-9432,www.mmttechnology.com,Matthews,NC,USA,"PCBA, Testing, Electro-mechanical","12 Layers, 0.1mm track",Functional testing focus,,,,,,,,,,,,,,,
American Circuits Incorporated,Engineering Team,sales@americancircuits.com,704-331-0300,www.americancircuits.com,Charlotte,NC,USA,"PCBA, Wire Harness, Design","10 Layers, 0.1016mm track",40k sq ft facility,,,,,,,,,,,,,,,
GRT Electronics LLC,Tony McCullough,tonym@grtelectronics.com,919-821-1996,www.grtelectronics.com,Raleigh,NC,USA,"SMT, THT, Mechanical Assembly","8 Layers, 0.1mm track","Contract Mfg, Raleigh based",,,,,,,,,,,,,,,
